day,hour,cost_to_go,T1,T2,H,Occ1,Occ2,price_t,price_previous,vent_counter,low_override_r1,low_override_r2,current_time
0,0,41.774284769842,21.0,21.0,40.0,32.969097664154,15.4710408718597,3.48812593193225,0.0,0,0,0,0
0,1,41.774284769842,19.259381953283082,18.909420817437194,48.71922493648246,32.969097664154,15.4710408718597,3.48812593193225,3.48812593193225,0,0,0,1
0,2,41.774284769842,17.56274080967607,17.374090213668598,58.35209347337499,34.098941577065816,19.416994739003783,2.237250383112821,3.48812593193225,0,1,1,2
0,3,32.90142124446635,18.572911408778356,18.37237404525661,53.14002304022256,33.61700679934285,20.76037968314361,1.1091079406719566,2.237250383112821,1,1,1,3
0,4,28.66538222314657,19.696905976644892,19.54471425928213,48.98910121625781,35.44515142724666,24.827505106282526,0.5295048776649726,1.1091079406719566,2,1,1,4
0,5,24.281362342612695,20.828669071430877,20.824262962084063,45.23967383725861,32.503181227782214,30.0,0.5480024850667341,0.5295048776649726,3,1,1,5
0,6,22.0153920681864,21.9480547643662,21.93916266876653,41.03588126398217,30.24481328432489,29.73411686413934,0.2832462843032866,0.5480024850667341,4,1,1,6
0,7,13.880514798588994,22.782462438742265,22.886857944342808,35.80461173374795,24.59216549300006,29.67855933903202,1.016859658699676,0.2832462843032866,5,0,0,7
0,8,5.17407018455487,23.47342290837599,20.437016849714777,30.00838268395104,25.69321559175705,25.438845242704595,1.7412889228068242,1.016859658699676,6,0,0,8
0,9,0.0,19.102640584355196,19.87292352392543,24.382589387566178,29.555435016300837,22.523491114894377,2.587035092277435,1.7412889228068242,7,0,0,9
1,0,107.6066292324946,21.0,21.0,40.0,25.7342414983848,16.144992366405123,3.0877237926443666,0.0,0,0,0,0
1,1,107.6066292324946,19.114684829967697,18.922899847328104,47.53826209566218,25.7342414983848,16.144992366405123,3.0877237926443666,3.0877237926443666,0,0,0,1
1,2,107.6066292324946,17.302330971862702,17.296435778180683,55.19141872958136,22.844535639400757,19.67300121570576,1.9380198740122785,3.0877237926443666,0,1,1,2
1,3,95.92069363188592,18.34789028395751,18.206084328359292,49.195871334705856,28.60173119013869,21.42300550499739,1.4607419500760848,1.9380198740122785,1,1,1,3
1,4,82.4852684541516,19.307725397590428,19.333470416990092,42.810747536539736,24.350130853755847,23.510292489765718,1.679428147216791,1.4607419500760848,2,1,1,4
1,5,61.17209756395887,20.624641522020063,20.369179012282594,37.992754477536714,34.47682771181968,22.089877515941293,2.66414636127409,1.679428147216791,3,1,1,5
1,6,34.55944858611513,21.653157068696057,21.51795996204609,32.682861426364525,32.21286023602414,21.62106725746368,3.326581122230468,2.66414636127409,4,1,1,6
1,7,0.0,22.689840869241852,22.427761246654455,28.286540750795183,37.02063365464495,21.88869592552539,4.319931073264391,3.326581122230468,5,0,0,7
1,8,0.0,21.071615919034365,20.857264070535784,38.525191748541694,35.76509059783254,21.116303834092516,5.473906504024445,4.319931073264391,5,0,0,8
1,9,0.0,19.550080032151044,19.28723358949195,50.10577819743516,40.34709562158727,23.989495761154217,5.904224431669166,5.473906504024445,5,0,0,9
2,0,54.07702329001454,21.0,21.0,40.0,27.721293233033787,22.818338600598924,2.160487259115344,0.0,0,0,0,0
2,1,54.07702329001454,19.154425864660677,19.05636677201198,49.09713373005388,27.721293233033787,22.818338600598924,2.160487259115344,2.160487259115344,0,0,0,1
2,2,54.07702329001454,17.465241147270408,17.4829168738033,58.49182733229344,26.389921148875032,25.80282108578918,0.7137980780762005,2.160487259115344,0,1,1,2
2,3,45.059228049737605,18.48276864088928,18.407127418149585,52.689503662570885,27.307563536933053,23.790638297941637,1.127224405034616,0.7137980780762005,1,1,1,3
2,4,37.2747526342482,19.575627900654723,19.47022912963293,47.22536708732025,29.69078795928531,23.286231067100054,0.9730594269361756,1.127224405034616,2,1,1,4
2,5,26.755567360428103,20.656278905746337,20.56175012807189,41.14749467672955,27.937397972883996,21.629977523834345,1.3148981592275122,0.9730594269361756,3,1,1,5
2,6,17.801267325871247,21.75593900157819,21.629313241387223,35.94872968949066,31.100262650557788,23.35104297589282,1.119287504319607,1.3148981592275122,4,1,1,6
2,7,12.725920918260538,22.547726883505604,22.53030774131115,29.461806375196858,25.032606994366216,22.26226348177931,0.6344183009513386,1.119287504319607,5,0,0,7
2,8,5.049519248309101,23.204526313497144,23.12815643858324,23.255178913279863,26.46592526731451,22.386144388702185,0.9595502087439296,0.6344183009513386,6,0,0,8
2,9,0.0,20.564165116798335,20.44682056466786,16.3280115242492,25.930922895586534,18.918147165354213,2.5247596241545507,0.9595502087439296,7,0,0,9
3,0,107.56771549326888,21.0,21.0,40.0,32.26903443186937,16.978933102062314,3.585774298766909,0.0,0,0,0,0
3,1,107.56771549326888,19.24538068863739,18.93957866204125,48.864634156107705,32.26903443186937,16.978933102062314,3.585774298766909,3.585774298766909,0,0,0,1
3,2,107.56771549326888,17.5616743986562,17.420512610182083,58.77483826478002,33.350904657636065,21.70578483498792,2.587347300506578,3.585774298766909,0,1,1,2
3,3,89.97916893729507,18.540563436160017,18.47787910299573,53.853798115216335,30.62293243831953,25.37128895299335,2.1985683194967263,2.587347300506578,1,1,1,3
3,4,73.628039774781,19.71804103108651,19.591672917762537,49.723147318071454,33.82197200642916,26.56330134276599,2.043891145314259,2.1985683194967263,2,1,1,4
3,5,59.87834600877473,20.928425665089687,20.851031592293154,46.56088787921501,35.765225339686424,30.0,1.7187117207507852,2.043891145314259,3,1,1,5
3,6,40.84509673318669,22.029819098553823,21.971562606590947,42.35971944071693,32.03362218255116,27.959886492459493,2.379156159448504,1.7187117207507852,4,0,1,6
3,7,25.682902180670908,19.96615942475455,22.859616530587548,37.61181945749844,31.57855164606743,25.377559558274285,3.032438910503157,2.379156159448504,5,0,0,7
3,8,25.682902180670908,20.50770874390809,19.461362211516022,48.775981048419766,35.46929499083572,26.55382495872718,3.450322844313641,3.032438910503157,5,0,0,8
3,9,17.656445967493223,17.958782512297923,17.902853125389623,44.49606348015258,31.929797814504514,27.62621569512222,3.5145769360620824,3.450322844313641,6,1,1,9
4,0,163.85459616137064,21.0,21.0,40.0,31.365327650566044,22.007154082152155,6.196280805323791,0.0,0,0,0,0
4,1,163.85459616137064,19.22730655301132,19.040143081643045,49.607046711889275,31.365327650566044,22.007154082152155,6.196280805323791,6.196280805323791,0,0,0,1
4,2,163.85459616137064,17.582244547932362,17.491791035446393,59.675716691222405,31.633591567781178,24.30346387295844,6.631269941074765,6.196280805323791,0,1,1,2
4,3,128.05443927854003,19.40407216590391,19.283038566540153,71.42871682747575,36.35146392844239,28.94298127296512,5.966692813805103,6.631269941074765,0,1,1,3
4,4,84.48117337088556,20.614056795039488,20.38643880962867,68.99888856706754,41.51534535158693,28.31894209058969,5.446658238456807,5.966692813805103,1,1,1,4
4,5,49.2663118903659,21.665174437505982,21.627070818224784,65.75638970120758,35.319450745222504,30.0,4.401857685064957,5.446658238456807,2,1,1,5
4,6,27.29509088193723,22.82327895752652,22.552722831916352,61.67321923477422,37.37420676699273,23.27484619726643,2.746402626053583,4.401857685064957,3,0,0,6
4,7,15.347259669075829,20.707975477382877,23.497970695058246,58.21242852263234,39.33264963313126,24.77406863274712,2.3895662425722803,2.746402626053583,4,0,0,7
4,8,4.429401281314776,23.469693841998165,19.444700341447273,55.305120407243436,38.29068417179338,28.890937409379404,2.1835716775522105,2.3895662425722803,5,0,0,8
4,9,0.0,18.615065494259124,19.69572613943958,51.76434399424842,35.002111755189766,28.660241505949053,2.214700640657388,2.1835716775522105,6,0,0,9
5,0,222.58066562458674,21.0,21.0,40.0,32.81367886473842,16.657447977782923,7.626198917282052,0.0,0,0,0,0
5,1,222.58066562458674,19.25627357729477,18.93314895955566,48.90480283165384,32.81367886473842,16.657447977782923,7.626198917282052,7.626198917282052,0,0,0,1
5,2,222.58066562458674,17.526190715182874,17.3902893842528,58.18749294771116,31.606218228676816,19.96428241608611,7.878775016079938,7.626198917282052,0,1,1,2
