day,hour,cost_to_go,T1,T2,H,Occ1,Occ2,price_t,price_previous,vent_counter,low_override_r1,low_override_r2,current_time
0,0,50.87252071348618,21.0,21.0,40.0,32.969097664154,15.4710408718597,3.48812593193225,0.0,0,0,0,0
0,1,33.90242180614331,21.124486951926944,21.909420817437194,48.71922493648246,32.969097664154,15.4710408718597,3.48812593193225,3.48812593193225,0,0,0,1
0,2,33.90242180614331,19.922272309269232,19.393153212854912,58.35209347337499,34.098941577065816,19.416994739003783,2.237250383112821,3.48812593193225,0,0,0,2
0,3,33.81030389882576,18.19220865816809,18.176867698882777,68.14002304022256,33.61700679934285,20.76037968314361,1.1091079406719566,2.237250383112821,0,0,0,3
0,4,32.55765752145345,18.221973089183034,18.266752705087736,78.98910121625781,35.44515142724666,24.827505106282526,0.5295048776649726,1.1091079406719566,0,0,0,4
0,5,28.17363764091958,19.61941227267568,19.55591476334863,75.23967383725861,32.503181227782214,30.0,0.5480024850667341,0.5295048776649726,1,0,0,5
0,6,25.907667366493285,20.82426880549838,20.833104129892785,71.03588126398216,30.24481328432489,29.73411686413934,0.2832462843032866,0.5480024850667341,2,0,0,6
0,7,17.772790096895875,21.781691527757673,21.88076880735999,65.80461173374793,24.59216549300006,29.67855933903202,1.016859658699676,0.2832462843032866,3,0,0,7
0,8,7.4275266469388725,21.3370348034618,21.708383648639458,60.00838268395103,25.69321559175705,25.438845242704595,1.7412889228068242,1.016859658699676,4,0,0,8
0,9,1.310354897760551,19.426358271770848,19.135235857780184,54.38258938756617,29.555435016300837,22.523491114894377,2.587035092277435,1.7412889228068242,5,0,0,9
1,0,148.7762285643033,21.0,21.0,40.0,25.7342414983848,16.144992366405123,3.0877237926443666,0.0,0,0,0,0
1,1,132.48018048312082,21.392374537837043,21.922899847328104,47.53826209566218,25.7342414983848,16.144992366405123,3.0877237926443666,3.0877237926443666,0,0,0,1
1,2,132.48018048312082,19.785637884223508,19.56304960290229,55.19141872958136,22.844535639400757,19.67300121570576,1.9380198740122785,3.0877237926443666,0,0,0,2
1,3,132.15700488073094,18.265143911014746,18.18500008578583,64.19587133470586,28.60173119013869,21.42300550499739,1.4607419500760848,1.9380198740122785,0,0,0,3
1,4,125.54040725837369,18.464266069652826,19.423274216791956,72.81074753653974,24.350130853755847,23.510292489765718,1.679428147216791,1.4607419500760848,0,0,0,4
1,5,104.22723636818097,20.4254860035199,19.89004455546059,67.9927544775367,34.47682771181968,22.089877515941293,2.66414636127409,1.679428147216791,1,0,0,5
1,6,79.84359386826083,20.635870481207608,21.25472631389939,62.68286142636451,32.21286023602414,21.62106725746368,3.326581122230468,2.66414636127409,2,0,0,6
